#   age       Mc        Msh       logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    1.0000    0.6200    0.4705    1.5859    3.6648    8.0661    2.2566   11.8293    4.3285    0.2880    0.9403    0.0169    0.0000    0.0000
    1.0000    0.6600    0.4705    1.6045    3.6559    8.0660    2.2293   11.8565    4.3288    0.2880    0.9402    0.0169    0.0000    0.0000
    1.0000    0.7000    0.4705    1.6181    3.6506    8.0660    2.2202   11.8740    4.3290    0.2880    0.9403    0.0169    0.0000    0.0000
#   age       Mc        Msh       logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    2.0000    0.4880    0.4856    1.1860    4.4469    8.0678    5.6809   10.0653    4.3200    0.2470    0.9434    0.0006   -1.4800    0.6000
    2.0000    0.4900    0.4866    1.1904    4.4312    8.0679    5.6157   10.0987    4.3184    0.2470    0.9427    0.0006   -1.4800    0.6000
    2.0000    0.4950    0.4892    1.2023    4.3942    8.0686    5.4601   10.1787    4.3138    0.2470    0.9416    0.0006   -1.4800    0.6000
    2.0000    0.5000    0.4852    1.2149    4.3668    8.0691    5.3426   10.2397    4.3097    0.2470    0.9410    0.0006   -1.4800    0.6000
    2.0000    0.5050    0.4853    1.2224    4.3437    8.0693    5.2465   10.2899    4.3062    0.2470    0.9409    0.0006   -1.4800    0.6000
    2.0000    0.5100    0.4852    1.2324    4.3236    8.0697    5.1607   10.3349    4.3030    0.2470    0.9406    0.0006   -1.4800    0.6000
    2.0000    0.5200    0.4852    1.2551    4.2875    8.0704    5.0018   10.4185    4.2971    0.2470    0.9398    0.0006   -1.4800    0.6000
    2.0000    0.5300    0.4852    1.2807    4.2585    8.0710    4.8685   10.4893    4.2926    0.2470    0.9391    0.0006   -1.4800    0.6000
    2.0000    0.5400    0.4852    1.3121    4.2296    8.0715    4.7296   10.5628    4.2887    0.2470    0.9389    0.0006   -1.4800    0.6000
    2.0000    0.5600    0.4852    1.4213    4.1582    8.0718    4.3507   10.7602    4.2864    0.2470    0.9386    0.0006   -1.4800    0.6000
    2.0000    0.5900    0.4852    1.5694    4.0133    8.0715    3.6456   11.1240    4.2885    0.2470    0.9389    0.0006   -1.4800    0.6000
    2.0000    0.6100    0.4857    1.6265    3.9117    8.0714    3.1966   11.3558    4.2894    0.2470    0.9386    0.0006   -1.4800    0.6000
    2.0000    0.6300    0.4859    1.6638    3.8125    8.0713    2.7766   11.5728    4.2903    0.2470    0.9386    0.0006   -1.4800    0.6000
    2.0000    0.6500    0.4858    1.6895    3.7462    8.0712    2.4990   11.7184    4.2909    0.2470    0.9384    0.0006   -1.4800    0.6000
    2.0000    0.7000    0.4859    1.7279    3.7176    8.0711    2.3787   11.7946    4.2917    0.2470    0.9383    0.0006   -1.4800    0.6000
    2.0000    0.7800    0.4861    1.7635    3.7065    8.0710    2.3457   11.8347    4.2925    0.2470    0.9383    0.0006   -1.4800    0.6000
    2.0000    0.9000    0.4858    1.7993    3.7016    8.0709    2.3523   11.8624    4.2938    0.2470    0.9387    0.0006   -1.4800    0.6000
    2.0000    0.4980    0.4957    1.2275    4.4647    8.0698    5.7197   10.0502    4.3029    0.2450    0.9416    0.0001   -2.2600    0.5000
    2.0000    0.5000    0.4969    1.2324    4.4447    8.0700    5.6362   10.0928    4.3009    0.2450    0.9415    0.0001   -2.2600    0.5000
    2.0000    0.5050    0.4995    1.2432    4.4093    8.0705    5.4884   10.1689    4.2964    0.2450    0.9413    0.0001   -2.2600    0.5000
    2.0000    0.5100    0.4957    1.2534    4.3830    8.0710    5.3770   10.2267    4.2926    0.2450    0.9406    0.0001   -2.2600    0.5000
    2.0000    0.5150    0.4956    1.2632    4.3613    8.0713    5.2846   10.2751    4.2891    0.2450    0.9400    0.0001   -2.2600    0.5000
    2.0000    0.5200    0.4957    1.2728    4.3424    8.0717    5.2037   10.3177    4.2859    0.2450    0.9398    0.0001   -2.2600    0.5000
    2.0000    0.5300    0.4957    1.2921    4.3100    8.0724    5.0627   10.3922    4.2803    0.2450    0.9389    0.0001   -2.2600    0.5000
    2.0000    0.5400    0.4957    1.3095    4.2839    8.0729    4.9491   10.4530    4.2756    0.2450    0.9384    0.0001   -2.2600    0.5000
    2.0000    0.5600    0.4957    1.3533    4.2356    8.0737    4.7280   10.5716    4.2682    0.2450    0.9375    0.0001   -2.2600    0.5000
    2.0000    0.5800    0.4957    1.4070    4.1900    8.0743    4.5074   10.6895    4.2635    0.2450    0.9377    0.0001   -2.2600    0.5000
