#   age       Mtot      Mc        Menv      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    1.0000    0.6200    0.4690    0.1510    1.5859    3.6648    8.0661    2.2566   11.8293    4.3285    0.2880    0.9403    0.0169    0.0000    0.0000
    1.0000    0.6600    0.4690    0.1910    1.6045    3.6559    8.0660    2.2293   11.8565    4.3288    0.2880    0.9402    0.0169    0.0000    0.0000
    1.0000    0.7000    0.4690    0.2310    1.6181    3.6506    8.0660    2.2202   11.8740    4.3290    0.2880    0.9403    0.0169    0.0000    0.0000
#   age       Mtot      Mc        Menv      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    2.0000    0.4710    0.4690    0.0020    1.0880    4.4109    8.0638    5.6196   10.0882    4.3534    0.2880    0.9320    0.0169    0.0000    0.0000
    2.0000    0.4730    0.4690    0.0040    1.0933    4.3828    8.0640    5.5033   10.1473    4.3511    0.2880    0.9318    0.0169    0.0000    0.0000
    2.0000    0.4750    0.4690    0.0060    1.0987    4.3614    8.0643    5.4147   10.1925    4.3491    0.2880    0.9316    0.0169    0.0000    0.0000
    2.0000    0.4800    0.4690    0.0110    1.1080    4.3212    8.0652    5.2488   10.2777    4.3444    0.2880    0.9306    0.0169    0.0000    0.0000
    2.0000    0.4850    0.4690    0.0160    1.1216    4.2884    8.0652    5.1084   10.3501    4.3402    0.2880    0.9306    0.0169    0.0000    0.0000
    2.0000    0.4900    0.4690    0.0210    1.1345    4.2608    8.0658    4.9897   10.4117    4.3364    0.2880    0.9300    0.0169    0.0000    0.0000
    2.0000    0.4950    0.4690    0.0260    1.1507    4.2348    8.0660    4.8740   10.4718    4.3335    0.2880    0.9298    0.0169    0.0000    0.0000
    2.0000    0.5000    0.4690    0.0310    1.1735    4.2099    8.0663    4.7560   10.5330    4.3308    0.2880    0.9296    0.0169    0.0000    0.0000
    2.0000    0.5100    0.4690    0.0410    1.2542    4.1530    8.0668    4.4566   10.6870    4.3273    0.2880    0.9295    0.0169    0.0000    0.0000
