# log(age) Mini Mact logl logt logg Composition Phase
    6.00    0.80000000   0.8000  -0.3001   3.7663   4.6600   0.0000   0.0000
    6.00    0.88400000   0.8840  -0.0959   3.7920   4.6020   0.0000   0.0000
    6.00    0.97800000   0.9780   0.1067   3.8152   4.5350   0.0000   0.0000
    6.00    1.08100000   1.0810   0.3067   3.8411   4.4820   0.0000   0.0000
    6.00    1.19400000   1.1940   0.4790   3.8706   4.4720   0.0000   0.0000
    6.00    1.32000000   1.3200   0.6590   3.9080   4.4850   0.0000   0.0000
    6.00    1.46000000   1.4600   0.8443   3.9498   4.5100   0.0000   0.0000
    6.00    1.61300000   1.6130   1.0233   3.9863   4.5300   0.0000   0.0000
    6.00    1.78300000   1.7830   1.1967   4.0216   4.5620   0.0000   0.0000
    6.00    1.97100000   1.9710   1.3659   4.0573   4.5790   0.0000   0.0000
    6.00    2.17900000   2.1790   1.5305   4.0892   4.5850   0.0000   0.0000
    6.00    2.40900000   2.4090   1.6942   4.1205   4.5890   0.0000   0.0000
    6.00    2.66300000   2.6630   1.8543   4.1494   4.5870   0.0000   0.0000
    6.00    2.94400000   2.9440   2.0122   4.1767   4.5820   0.0000   0.0000
    6.00    3.25400000   3.2540   2.1661   4.2024   4.5740   0.0000   0.0000
    6.00    3.59700000   3.5970   2.3191   4.2276   4.5650   0.0000   0.0000
    6.00    3.97600000   3.9760   2.4721   4.2528   4.5560   0.0000   0.0000
    6.00    4.39500000   4.3950   2.6191   4.2761   4.5450   0.0000   0.0000
    6.00    4.85800000   4.8580   2.7656   4.2993   4.5350   0.0000   0.0000
    6.00    5.37000000   5.3700   2.9084   4.3219   4.5260   0.0000   0.0000
    6.00    5.93600000   5.9360   3.0496   4.3441   4.5170   0.0000   0.0000
    6.00    6.56200000   6.5620   3.1908   4.3664   4.5080   0.0000   0.0000
    6.00    7.25400000   7.2540   3.3303   4.3881   4.4990   0.0000   0.0000
    6.00    8.01800000   8.0180   3.4671   4.4089   4.4880   0.0000   0.0000
    6.00    8.86400000   8.8640   3.6049   4.4295   4.4760   0.0000   0.0000
    6.00    9.79800000   9.7980   3.7379   4.4492   4.4640   0.0000   0.0000
    6.00   10.83100000  10.8300   3.8701   4.4687   4.4530   0.0000   0.0000
    6.00   11.97200000  11.9710   4.0033   4.4882   4.4410   0.0000   0.0000
    6.00   13.23400000  13.2320   4.1301   4.5060   4.4290   0.0000   0.0000
    6.00   14.62900000  14.6250   4.2574   4.5237   4.4160   0.0000   0.0000
    6.00   16.17100000  16.1660   4.3796   4.5402   4.4040   0.0000   0.0000
    6.00   17.87600000  17.8700   4.5007   4.5564   4.3910   0.0000   0.0000
    6.00   19.76000000  19.7540   4.6223   4.5724   4.3780   0.0000   0.0000
    6.00   21.84300000  21.8330   4.7370   4.5872   4.3660   0.0000   0.0000
    6.00   24.14500000  24.1300   4.8512   4.6017   4.3540   0.0000   0.0000
    6.00   26.69000000  26.6670   4.9608   4.6153   4.3430   0.0000   0.0000
    6.00   29.50400000  29.4680   5.0681   4.6284   4.3310   0.0000   0.0000
    6.00   32.61400000  32.5610   5.1741   4.6410   4.3200   0.0000   0.0000
    6.00   36.05100000  35.9750   5.2743   4.6523   4.3090   0.0000   0.0000
    6.00   39.85100000  39.7440   5.3745   4.6635   4.2970   0.0000   0.0000
    6.00   44.05200000  43.9030   5.4657   4.6724   4.2850   0.0000   0.0000
    6.00   48.69500000  48.4920   5.5565   4.6811   4.2730   0.0000   0.0000
    6.00   53.82800000  53.5550   5.6473   4.6897   4.2600   0.0000   0.0000
    6.00   59.50200000  59.1400   5.7382   4.6979   4.2460   0.0000   0.0000
    6.00   65.77300000  65.3060   5.8203   4.7040   4.2310   0.0000   0.0000
    6.00   72.70600000  72.1040   5.9014   4.7095   4.2160   0.0000   0.0000
    6.00   80.37000000  79.5960   5.9820   4.7148   4.2000   0.0000   0.0000
    6.00   88.84100000  87.8570   6.0600   4.7188   4.1820   0.0000   0.0000
    6.00   98.20600000  96.9710   6.1346   4.7213   4.1610   0.0000   0.0000
    6.00  108.55700000 107.0160   6.2078   4.7235   4.1410   0.0000   0.0000
    6.00  120.00000000 118.0870   6.2794   4.7258   4.1220   0.0000   0.0000
# log(age) Mini Mact logl logt logg Composition Phase
    6.05    0.80000000   0.8000  -0.3001   3.7663   4.6600   0.0000   0.0000
    6.05    0.88400000   0.8840  -0.0959   3.7920   4.6020   0.0000   0.0000
    6.05    0.97800000   0.9780   0.1067   3.8152   4.5350   0.0000   0.0000
    6.05    1.08100000   1.0810   0.3067   3.8411   4.4820   0.0000   0.0000
    6.05    1.19400000   1.1940   0.4790   3.8706   4.4720   0.0000   0.0000
    6.05    1.32000000   1.3200   0.6590   3.9080   4.4850   0.0000   0.0000
    6.05    1.46000000   1.4600   0.8443   3.9498   4.5100   0.0000   0.0000
    6.05    1.61300000   1.6130   1.0233   3.9863   4.5300   0.0000   0.0000
    6.05    1.78300000   1.7830   1.1967   4.0216   4.5620   0.0000   0.0000
    6.05    1.97100000   1.9710   1.3659   4.0573   4.5790   0.0000   0.0000
    6.05    2.17900000   2.1790   1.5305   4.0892   4.5850   0.0000   0.0000
    6.05    2.40900000   2.4090   1.6942   4.1205   4.5890   0.0000   0.0000
    6.05    2.66300000   2.6630   1.8543   4.1493   4.5870   0.0000   0.0000
    6.05    2.94400000   2.9440   2.0122   4.1767   4.5820   0.0000   0.0000
    6.05    3.25400000   3.2540   2.1662   4.2023   4.5740   0.0000   0.0000
    6.05    3.59700000   3.5970   2.3191   4.2275   4.5650   0.0000   0.0000
    6.05    3.97600000   3.9760   2.4721   4.2528   4.5560   0.0000   0.0000
    6.05    4.39500000   4.3950   2.6191   4.2761   4.5450   0.0000   0.0000
    6.05    4.85800000   4.8580   2.7656   4.2993   4.5350   0.0000   0.0000
    6.05    5.37000000   5.3700   2.9084   4.3219   4.5260   0.0000   0.0000
    6.05    5.93600000   5.9360   3.0496   4.3441   4.5170   0.0000   0.0000
    6.05    6.56200000   6.5620   3.1908   4.3663   4.5080   0.0000   0.0000
    6.05    7.25400000   7.2540   3.3303   4.3881   4.4980   0.0000   0.0000
    6.05    8.01800000   8.0180   3.4681   4.4087   4.4860   0.0000   0.0000
    6.05    8.86400000   8.8640   3.6059   4.4294   4.4740   0.0000   0.0000
    6.05    9.79800000   9.7980   3.7389   4.4491   4.4630   0.0000   0.0000
    6.05   10.83100000  10.8300   3.8717   4.4686   4.4510   0.0000   0.0000
    6.05   11.97200000  11.9710   4.0051   4.4881   4.4390   0.0000   0.0000
    6.05   13.23400000  13.2320   4.1323   4.5058   4.4260   0.0000   0.0000
    6.05   14.62900000  14.6250   4.2597   4.5235   4.4140   0.0000   0.0000
    6.05   16.17100000  16.1660   4.3825   4.5401   4.4010   0.0000   0.0000
